"id","code","acronym","name","subject_id:id"
"ems.outcome_0156_01RA","0156_01RA","RA1","Comprèn informació, d'índole professional i quotidiana, continguda en discursos orals senzills, emesos en llengua estàndard, desxifrant el contingut global del missatge, i relacionant-lo amb els recursos lingüístics corresponents.","ems.subject_0156"
"ems.outcome_0156_02RA","0156_02RA","RA2","Comprèn informació professional continguda en textos escrits senzills, analitzant de manera comprensiva el seu contingut.","ems.subject_0156"
"ems.outcome_0156_03RA","0156_03RA","RA3","Emet missatges orals senzills, clars i estructurats, participant com a agent actiu en converses professionals.","ems.subject_0156"
"ems.outcome_0156_04RA","0156_04RA","RA4","Redacta textos senzills en llengua estàndard, relacionant les regles gramaticals amb la seva finalitat.","ems.subject_0156"
"ems.outcome_0156_05RA","0156_05RA","RA5","Aplica actituds i comportaments professionals en situacions de comunicació, descrivint les relacions típiques característiques del país de la llengua estrangera.","ems.subject_0156"
"ems.outcome_0179_01RA","0179_01RA","RA1","Comprèn informació, d'índole professional, acadèmica i quotidiana, continguda en tota mena de discursos orals, emesos per qualsevol mitjà de comunicació en llengua estàndard, interpretant amb precisió el contingut del missatge.","ems.subject_0179"
"ems.outcome_0179_02RA","0179_02RA","RA2","Comprèn missatges escrits, de naturalesa professional, acadèmica i quotidiana, de relativa dificultat, analitzant de manera comprensiva el seu contingut.","ems.subject_0179"
"ems.outcome_0179_03RA","0179_03RA","RA3","Emet missatges orals clars i ben estructurats, analitzant el contingut de la situació i adaptant-se al registre lingüístic de l'interlocutor.","ems.subject_0179"
"ems.outcome_0179_04RA","0179_04RA","RA4","Redacta documents i informes, propis del sector o de la vida acadèmica i quotidiana, relacionant els recursos lingüístics amb el seu propòsit.","ems.subject_0179"
"ems.outcome_0179_05RA","0179_05RA","RA5","Aplica actituds i comportaments professionals en situacions de comunicació, descrivint les relacions típiques característiques del país de la llengua estrangera. mp_AGA0_Assitència a la direcció_v20240606 42/66","ems.subject_0179"
"ems.outcome_0180_01RA","0180_01RA","RA1","Reconeix informació professional i quotidiana continguda a discursos orals clars i senzills emesos en llengua estàndard, identificant el contingut global del missatge.","ems.subject_0180"
