id,code,acronym,name,level_id:id,date,deprecated,attachment_ids:id,subject_ids:id
"ems.study_cfgm_ic10_smx_2024","CFGM_IC10","SMX","Sistemes microinformàtics i xarxes","ems.level_cfgm","2024-09-01","","ems.boe_15_20080117_v1,ems.dogc_6415_20131107_v1,ems.mp_IC10_smx_2024_v1,ems.orien_IC10_smx_2024_v1","ems.subject_0221,ems.subject_0222,ems.subject_0223,ems.subject_0224,ems.subject_0225,ems.subject_0226,ems.subject_0227,ems.subject_0228,ems.subject_0156,ems.subject_1664,ems.subject_1708,ems.subject_1709,ems.subject_1710,ems.subject_1713,ems.subject_T1_CFGM_IC10_SMX,ems.subject_T2_CFGM_IC10_SMX"
"ems.study_cfgs_icb0_dam_2024","CFGS_ICB0","DAM","Desenvolupament d'aplicacions multiplataforma","ems.level_cfgs","2024-09-01","","ems.boe_123_20100520_v1,ems.dogc_6516_20131205_v1,ems.mp_ICB0_dam_2024_v1,ems.orien_ICB0_dam_2024_v1","ems.subject_0373,ems.subject_0483,ems.subject_0484,ems.subject_0485,ems.subject_0486,ems.subject_0487,ems.subject_0488,ems.subject_0489,ems.subject_0490,ems.subject_0491,ems.subject_0179,ems.subject_1665,ems.subject_1708,ems.subject_1709,ems.subject_1710,ems.subject_0492,ems.subject_T1_CFGS_ICB0_DAM,ems.subject_T2_CFGS_ICB0_DAM"
"ems.study_cfgs_icc0_daw_2024","CFGS_ICC0","DAW","Desenvolupament d'aplicacions web","ems.level_cfgs","2024-09-01","","ems.boe_143_20100612_v1,ems.dogc_6958_20150917_v1,ems.mp_ICC0_daw_2024_v1,ems.orien_ICC0_daw_2024_v1","ems.subject_0373,ems.subject_0483,ems.subject_0484,ems.subject_0485,ems.subject_0487,ems.subject_0612,ems.subject_0613,ems.subject_0614,ems.subject_0615,ems.subject_0179,ems.subject_1665,ems.subject_1708,ems.subject_1709,ems.subject_1710,ems.subject_0616,ems.subject_T1_CFGS_ICC0_DAW,ems.subject_T2_CFGS_ICC0_DAW"
"ems.study_cfgs_ica0_asix_2024","CFGS_ICA0","ASIX","Administració de sistemes informàtics en xarxa","ems.level_cfgs","2024-09-01","","ems.boe_278_20091118_v1,ems.dogc_6426_20130726_v1,ems.mp_ICA0_asix_2024_v1,ems.orien_ICA0_asix_2024_v1","ems.subject_0369,ems.subject_0370,ems.subject_0371,ems.subject_0372,ems.subject_0373,ems.subject_0374,ems.subject_0375,ems.subject_0376,ems.subject_0377,ems.subject_0378,ems.subject_0179,ems.subject_1665,ems.subject_1708,ems.subject_1709,ems.subject_1710,ems.subject_0379,ems.subject_T1_CFGS_ICA0_ASIX,ems.subject_T2_CFGS_ICA0_ASIX"
"ems.study_efps_ic02_dev_2024","EFPS_IC02","DEV","Desenvolupament de Videojocs i Realitat Virtual","ems.level_efps","2024-09-01","","ems.boe_109_20210507_v1,ems.dogc_9341_20250131_v1,ems.orien_IC20_dev_2024_v1","ems.subject_5048,ems.subject_5049,ems.subject_5050,ems.subject_5051,ems.subject_5052,ems.subject_C089,ems.subject_T1_EFPS_IC02_DEV"
"ems.study_cfgm_ag10_ga_2024","CFGM_AG10","GA","Gestió administrativa","ems.level_cfgm","2024-09-01","","ems.boe_289_20091201_v1,ems.dogc_6915_20150717_v1,ems.mp_AG10_ga_2024_v1,ems.orien_AG10_ga_2024_v1","ems.subject_0437,ems.subject_0438,ems.subject_0439,ems.subject_0440,ems.subject_0441,ems.subject_0442,ems.subject_0443,ems.subject_0446,ems.subject_0448,ems.subject_C056,ems.subject_0156,ems.subject_1664,ems.subject_1708,ems.subject_1709,ems.subject_1710,ems.subject_1713,ems.subject_T1_CFGM_AG10_GA,ems.subject_T2_CFGM_AG10_GA"
"ems.study_cfgs_agb0_aif_2024","CFGS_AGB0","AIF","Administració i Finances","ems.level_cfgs","2024-09-01","","ems.boe_301_20111215_v1,ems.dogc_7343_20170404_v1,ems.mp_AGB0_aif_2024_v1,ems.orien_AGB0_aif_2024_v1","ems.subject_0647,ems.subject_0648,ems.subject_0649,ems.subject_0650,ems.subject_0651,ems.subject_0652,ems.subject_0653,ems.subject_0654,ems.subject_0655,ems.subject_0656,ems.subject_C076,ems.subject_0179,ems.subject_1665,ems.subject_1708,ems.subject_1709,ems.subject_1710,ems.subject_0657,ems.subject_T1_CFGS_AGB0_AIF,ems.subject_T2_CFGS_AGB0_AIF"
"ems.study_cfgs_aga0_ad_2024","CFGS_AGA0","AD","Assistència a la direcció","ems.level_cfgs","2024-09-01","","ems.boe_301_20111215_v1,ems.dogc_7645_20180619_v1,ems.mp_AGA0_ad_2024_v1,ems.orien_AGA0_ad_2024_v1","ems.subject_0647,ems.subject_0648,ems.subject_0649,ems.subject_0650,ems.subject_0651,ems.subject_0661,ems.subject_0662,ems.subject_0663,ems.subject_C076,ems.subject_0179,ems.subject_0180,ems.subject_1665,ems.subject_1708,ems.subject_1709,ems.subject_1710,ems.subject_0664,ems.subject_T1_CFGS_AGA0_AD,ems.subject_T2_CFGS_AGA0_AD"
"ems.study_cfpb_ag10_sa_2024","CFGB_AG10","SA","Serveis Administratius","ems.level_cfgb","2024-09-01","","ems.boe_129_20240528_v1,ems.mp_AG10_sa_2024_v1,ems.orien_AG10_sa_2024_v1","ems.subject_3163,ems.subject_3164,ems.subject_3161,ems.subject_3162,ems.subject_3159,ems.subject_3001,ems.subject_3002,ems.subject_3003_sa,ems.subject_3004_sa,ems.subject_3005,ems.subject_3006,ems.subject_3160,ems.subject_T1_CFPB_AG10_SA,ems.subject_T2_CFPB_AG10_SA"
"ems.study_pfi_ag10_ao_2024","PFI_AG01","AO","Auxiliar d’activitats d’oficina i en serveis administratius generals","ems.level_pfi","2024-09-01","","ems.fitxa_ao_2024_v1,ems.mp_prof_AG01_ao_2024_v1,ems.mp_gen_AG01_ao_2024_v1,ems.tutoria_AG01_ao_2024_v1","ems.subject_3003_pfi,ems.subject_3004_pfi,ems.subject_E001,ems.subject_MP,ems.subject_MPRL,ems.subject_MFG1,ems.subject_MFG2,ems.subject_MFG3,ems.subject_MFG4,ems.subject_T1_PFI_AG01_AO"
"ems.study_btx_171_2022","BTX_171_2022","BTX","Batxillerat","ems.level_btx","2022-09-01","","ems.dogc_8758_20220922_v1,ems.concre_btx_20250610_v1,ems.comp_pi_btx_2024_v1,ems.cur_educ_fisi_btx_2024_v1,ems.cur_filo_btx_2024_v1,ems.cur_hist_btx_2024_v1,ems.cur_hist_filo_btx_2024_v1,ems.cur_llen_loca_btx_2024_v1,ems.cur_llen_estr_btx_2024_v1,ems.cur_anal_musi_btx_2024_v1,ems.cur_arts_esce_btx_2024_v1,ems.cur_cien_gene_btx_2024_v1,ems.cur_dibu_arti_btx_2024_v1,ems.cur_llen_llat_btx_2024_v1,ems.cur_mate_btx_2024_v1,ems.cur_mate_soci_btx_2024_v1,ems.cur_mate_gene_btx_2024_v1,ems.cur_econ_empr_btx_2024_v1,ems.cur_movi_cult_btx_2024_v1,ems.cur_econ_btx_2024_v1,ems.cur_func_empr_btx_2024_v1,ems.cur_geog_btx_2024_v1,ems.cur_hist_art_btx_2024_v1,ems.cur_hist_mon_btx_2024_v1,ems.cur_lite_cast_btx_2024_v1,ems.cur_lite_cata_btx_2024_v1,ems.cur_lite_univ_btx_2024_v1,ems.cur_llen_greg_btx_2024_v1,ems.cur_cor_btx_2024_v1,ems.cur_cult_audi_btx_2024_v1,ems.cur_hist_musi_btx_2024_v1,ems.cur_lite_dram_btx_2024_v1,ems.cur_llen_musi_btx_2024_v1,ems.cur_dibu_tecn_btx_2024_v1,ems.cur_diss_btx_2024_v1,ems.cur_fona_arti_btx_2024_v1,ems.cur_proj_arti_btx_2024_v1,ems.cur_tecn_graf_btx_2024_v1,ems.cur_volu_btx_2024_v1,ems.cur_biol_eso_2024_v1,ems.cur_dibu_tecn_eso_2024_v1,ems.cur_fisi_eso_2024_v1,ems.cur_geol_eso_2024_v1,ems.cur_quim_eso_2024_v1,ems.cur_tecn_engi_eso_2024_v1",""
"ems.study_eso_175_2022","ESO_175_2022","ESO","Educació Secundària Obligatòria","ems.level_eso","2022-09-01","","ems.dogc_8762_20220929_v1,ems.orien_eso_2024_v1,ems.comp_cc_eso_2024_v1,ems.comp_cd_ori_eso_2024_v1,ems.comp_cd_ca_eso_2024_v1,ems.comp_cd_sabers_eso_2024_v1,ems.comp_ce_eso_2024_v1,ems.comp_cpsaa_eso_2024_v1,ems.comp_pi_eso_2024_v1,ems.concre_eso_20250610_v1,ems.cur_llen_loca_eso_2024_v1,ems.cur_arts_eso_2024_v1,ems.cur_bio_eso_2024_v1,ems.cur_ccss_eso_2024_v1,ems.cur_ccien_eso_2024_v1,ems.cur_cclass_eso_2024_v1,ems.cur_digi_eso_2024_v1,ems.cur_ecob_eso_2024_v1,ems.cur_evals_eso_2024_v1,ems.cur_ef_eso_2024_v1,ems.cur_eplas_eso_2024_v1,ems.cur_empr1a3_eso_2024_v1,ems.cur_empr4t_eso_2024_v1,ems.cur_filo_eso_2024_v1,ems.cur_fiq_eso_2024_v1,ems.cur_fiopp_eso_2024_v1,ems.cur_llati_eso_2024_v1,ems.cur_llest1_eso_2024_v1,ems.cur_mat_eso_2024_v1,ems.cur_mus_eso_2024_v1,ems.cur_robo_eso_2024_v1,ems.cur_llest2_eso_2024_v1,ems.cur_tecno_eso_2024_v1,ems.cur_digi_eso_2024_v1",""
