id,code,acronym,name,internal_hours,external_hours,ects,is_tutorship
"ems.subject_0373","0373","MP 0373","Llenguatges de marques i sistemes de gestió d’informació",66,33,7,false
"ems.subject_0483","0483","MP 0483","Sistemes informàtics",99,66,11,false
"ems.subject_0484","0484","MP 0484","Bases de dades",132,66,12,false
"ems.subject_0485","0485","MP 0485","Programació",198,66,15,false
"ems.subject_0487","0487","MP 0487","Entorns de desenvolupament",66,33,6,false
"ems.subject_0612","0612","MP 0612","Desenvolupament web en entorn client",99,66,10,false
"ems.subject_0613","0613","MP 0613","Desenvolupament web en entorn servidor",99,66,13,false
"ems.subject_0614","0614","MP 0614","Desplegament d’aplicacions web",66,53,5,false
"ems.subject_0615","0615","MP 0615","Disseny d’interfícies web",66,66,10,false
"ems.subject_0179","0179","MP 0179","Anglès professional",66,0,5,false
"ems.subject_1665","1665","MP 1665","Digitalització aplicada als sectors productius",33,0,3,false
"ems.subject_1708","1708","MP 1708","Sostenibilitat aplicada al sistema productiu",33,0,3,false
"ems.subject_1709","1709","MP 1709","Itinerari personal per a l'ocupabilitat I",99,0,5,false
"ems.subject_1710","1710","MP 1710","Itinerari personal per a l'ocupabilitat II",66,0,5,false
"ems.subject_0616","0616","MP 0616","Projecte intermodular de desenvolupament d'aplicacions web",198,0,5,false
"ems.subject_0486","0486","MP 0486","Accés a dades",66,66,10,false
"ems.subject_0488","0488","MP 0488","Desenvolupament d’interfícies",66,53,10,false
"ems.subject_0489","0489","MP 0489","Programació multimèdia i dispositius mòbils",66,66,7,false
"ems.subject_0490","0490","MP 0490","Programació de serveis i processos",66,33,5,false
"ems.subject_0491","0491","MP 0491","Sistemes de gestió empresarial",66,33,6,false
"ems.subject_0492","0492","MP 0492","Projecte intermodular de desenvolupament d'aplicacions multiplataforma",198,0,5,false
"ems.subject_0221","0221","MP 0221","Muntatge i manteniment d’equips",132,99,0,false
"ems.subject_0222","0222","MP 0222","Sistemes operatius monolloc",99,33,0,false
"ems.subject_0223","0223","MP 0223","Aplicacions ofimàtiques",99,99,0,false
"ems.subject_0224","0224","MP 0224","Sistemes operatius en xarxa",132,66,0,false
"ems.subject_0225","0225","MP 0225","Xarxes locals",132,66,0,false
"ems.subject_0226","0226","MP 0226","Seguretat informàtica",99,33,0,false
"ems.subject_0227","0227","MP 0227","Serveis de xarxa",132,66,0,false
"ems.subject_0228","0228","MP 0228","Aplicacions web",66,53,0,false
"ems.subject_0156","0156","MP 0156","Anglès professional",66,0,0,false
"ems.subject_1664","1664","MP 1664","Digitalització aplicada als sectors productius",33,0,0,false
"ems.subject_1713","1713","MP 1713","Projecte intermodular",198,0,0,false
"ems.subject_0369","0369","MP 0369","Implantació de sistemes operatius",132,99,16,false
"ems.subject_0370","0370","MP 0370","Planificació i administració de xarxes",132,53,12,false
"ems.subject_0371","0371","MP 0371","Fonaments de maquinari",66,33,7,false
"ems.subject_0372","0372","MP 0372","Gestió de bases de dades",132,66,12,false
"ems.subject_0374","0374","MP 0374","Administració de sistemes operatius",132,66,8,false
"ems.subject_0375","0375","MP 0375","Serveis de xarxa i internet",66,66,8,false
"ems.subject_0376","0376","MP 0376","Implantació d’aplicacions web",66,33,7,false
"ems.subject_0377","0377","MP 0377","Administració de sistemes gestors de bases de dades",33,33,5,false
"ems.subject_0378","0378","MP 0378","Seguretat i alta disponibilitat",66,33,7,false
"ems.subject_0379","0379","MP 0379","Projecte intermodular d'administració de sistemes informàtics en xarxa",198,0,5,false
"ems.subject_5048","5048","MP 5048","Programació i Motors de Videojocs",132,0,9,false
"ems.subject_5049","5049","MP 5049","Disseny Gràfic 2D i 3D",132,0,9,false
"ems.subject_5050","5050","MP 5050","Programació en Xarxa i Intel·ligència Artificial",66,0,5,false
"ems.subject_5051","5051","MP 5051","Realitat Virtual i Realitat Augmentada",66,0,5,false
"ems.subject_5052","5052","MP 5052","Disseny, Gestió, Publicació i Producció",99,0,8,false
"ems.subject_C089","C089","MP C089","Projecte de Desenvolupament de Videojocs i Realitat Virtual",105,0,0,false
"ems.subject_0437","0437","MP 0437","Comunicació empresarial i atenció al client",99,66,0,false
"ems.subject_0438","0438","MP 0438","Operacions administratives de compravenda",99,66,0,false
"ems.subject_0439","0439","MP 0439","Empresa i administració",99,0,0,false
"ems.subject_0440","0440","MP 0440","Tractament informàtic de la informació",165,132,0,false
"ems.subject_0441","0441","MP 0441","Tècnica comptable",99,53,0,false
"ems.subject_0442","0442","MP 0442","Operacions administratives de recursos humans",99,66,0,false
"ems.subject_0443","0443","MP 0443","Tractament de la documentació comptable",99,66,0,false
"ems.subject_0446","0446","MP 0446","Empresa a l’aula",99,0,0,false
"ems.subject_0448","0448","MP 0448","Operacions auxiliars de gestió de tresoreria",99,66,0,false
"ems.subject_C056","C056","MP C056","Català / Aranès professional",66,0,0,false
"ems.subject_0647","0647","MP 0647","Gestió de la documentació jurídica i empresarial",66,33,7,false
"ems.subject_0648","0648","MP 0648","Recursos humans i responsabilitat social corporativa",33,33,7,false
"ems.subject_0649","0649","MP 0649","Ofimàtica i procés de la informació",132,99,13,false
"ems.subject_0650","0650","MP 0650","Procés integral de l'activitat comercial",132,66,12,false
"ems.subject_0651","0651","MP 0651","Comunicació i atenció al client",132,66,13,false
"ems.subject_0652","0652","MP 0652","Gestió de recursos humans",66,66,7,false
"ems.subject_0653","0653","MP 0653","Gestió financera",132,53,7,false
"ems.subject_0654","0654","MP 0654","Comptabilitat i fiscalitat",99,99,7,false
"ems.subject_0655","0655","MP 0655","Gestió logística i comercial",66,0,7,false
"ems.subject_0656","0656","MP 0656","Simulació empresarial",99,0,9,false
"ems.subject_C076","C076","MP C076","Català / Aranès professional",66,0,0,false
"ems.subject_0657","0657","MP 0657","Projecte intermodular",99,0,5,false
"ems.subject_0661","0661","MP 0661","Protocol empresarial",132,66,9,false
"ems.subject_0662","0662","MP 0662","Organització d’esdeveniments empresarials",165,99,12,false
"ems.subject_0663","0663","MP 0663","Gestió avançada de la informació",165,99,8,false
"ems.subject_0180","0180","MP 0180","Segona llegua estrangera",119,99,8,false
"ems.subject_0664","0664","MP 0664","Projecte intermodular",198,198,5,false
"ems.subject_3163","3163","MP 3163","Ciències aplicades I",132,132,0,false
"ems.subject_3164","3164","MP 3164","Ciències aplicades II",132,132,0,false
"ems.subject_3161","3161","MP 3161","Comunicació i ciències socials I",165,165,0,false
"ems.subject_3162","3162","MP 3162","Comunicació i ciències socials II",132,132,0,false
"ems.subject_3159","3159","MP 3159","Itinerari personal per a l’ocupabilitat",99,99,0,false
"ems.subject_3001","3001","MP 3001","Tractament informàtic de dades",132,53,0,false
"ems.subject_3002","3002","MP 3002","Aplicacions bàsiques d’ofimàtica",132,66,0,false
"ems.subject_3003_sa","3003","MP 3003 SA","Tècniques administratives bàsiques",198,99,0,false
"ems.subject_3004_sa","3004","MP 3004 SA","Arxiu i comunicació",132,66,0,false
"ems.subject_3003_pfi","3003","MP 3003 AO","Tècniques administratives bàsiques",157,140,0,false
"ems.subject_3004_pfi","3004","MP 3004 AO","Arxiu i comunicació",138,60,0,false
"ems.subject_3005","3005","MP 3005","Atenció al client",99,99,0,false
"ems.subject_3006","3006","MP 3006","Preparació de comandes i venda de productes",66,33,0,false
"ems.subject_3160","3160","MP 3160","Projecte intermodular d'aprenentatge col·laboratiu",99,99,0,false
"ems.subject_E001","E001","MFP E001","Ofimàtica",100,35,0,false
