id,code,acronym,name,internal_hours,external_hours,ects,subject_id:id
"ims.subject_0485","0485","MP 0485","Programació",198,66,15,""
"ims.subject_048501","048501","RA 01","Reconeix l'estructura d'un programa informàtic, identificant i relacionant els elements propis del llenguatge de programació utilitzat.",,,,"ims.subject_0485"
"ims.subject_048502","048502","RA 02","Escriu i prova programes senzills, reconeixent i aplicant els fonaments de la programació orientada a objectes.",,,,"ims.subject_0485"
"ims.subject_048503","048503","RA 03","Escriu i depura codi, analitzant i utilitzant les estructures de control del llenguatge.",,,,"ims.subject_0485"
"ims.subject_048504","048504","RA 04","Desenvolupa programes organitzats en classes analitzant i aplicant els principis de la programació orientada a objectes.",,,,"ims.subject_0485"
"ims.subject_048505","048505","RA 05","Realitza operacions d'entrada i sortida d'informació, utilitzant procediments específics del llenguatge i llibreries de classes.",,,,"ims.subject_0485"
"ims.subject_048506","048506","RA 06","Escriu programes que manipulin informació seleccionant i utilitzant tipus avançats de dades.",,,,"ims.subject_0485"
"ims.subject_048507","048507","RA 07","Desenvolupa programes aplicant característiques avançades dels llenguatges orientats a objectes i de l'entorn de programació.",,,,"ims.subject_0485"
"ims.subject_048508","048508","RA 08","Utilitza bases de dades orientades a objectes, analitzant-ne les característiques i aplicant tècniques per mantenir la persistència de la informació.",,,,"ims.subject_0485"
"ims.subject_048509","048509","RA 09","Gestiona informació emmagatzemada en bases de dades mantenint la integritat i consistència de les dades.",,,,"ims.subject_0485"
"ims.subject_0487","0487","MP 0487","Entorns de desenvolupament",66,33,6,""
