module,type,name,res_id,src,value,comments
ims,model,"ir.actions.act_window,name",ims.action_ims_classroom_tree,Gestio d'aules,Gestio d'aules,
ims,model,"ir.actions.act_window,name",ims.action_ims_followup_tree,Gestio de seguiments,Gestio de seguiments,
ims,model,"ir.actions.act_window,name",ims.action_ims_formative_unit_tree,Gestio d'UFs,Gestio d'UFs,
ims,model,"ir.actions.act_window,name",ims.action_ims_group_tree,Gestio de grups,Gestio de grups,
ims,model,"ir.actions.act_window,name",ims.action_ims_level_tree,Gestio de nivells,,
ims,model,"ir.actions.act_window,name",ims.action_ims_professional_module_tree,Gestio d'MPs,,
ims,model,"ir.actions.act_window,name",ims.action_ims_student_kanban,ims.student Kanban Action,Accions Kanban,
ims,model,"ir.actions.act_window,name",ims.action_ims_student_tree,Gestio d'alumnes,,
ims,model,"ir.actions.act_window,name",ims.action_ims_study_tree,Gestio d'estudis,,
ims,model,"ir.actions.act_window,name",ims.action_ims_teacher_tree,Gestio de professors,,
ims,model,"ir.actions.report,name",ims.report_mp,Professional Module Report,,
ims,model,"ir.model,name",ims.model_ims_classroom,Classroom,Classe,
ims,model,"ir.model,name",ims.model_ims_followup,Follow-up,Seguiment,
ims,model,"ir.model,name",ims.model_ims_formative_unit,Formative Unit,Unitat Formativa,
ims,model,"ir.model,name",ims.model_ims_group,Groups,Grups,
ims,model,"ir.model,name",ims.model_ims_level,Level,,
ims,model,"ir.model,name",ims.model_ims_professional_module,Profesional Module,Mòdul professional,
ims,model,"ir.model,name",ims.model_ims_student,Student,Estudiant,
ims,model,"ir.model,name",ims.model_ims_study,Study,Estudis,
ims,model,"ir.model,name",ims.model_ims_teacher,Teacher,Professor,
ims,model,"ir.model,name",ims.model_ims_template,Template,Plantilla,
ims,model,"ir.model,name",ims.model_ims_template_group,Template groups,Plantilla grups,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom____last_update,Last Modified on,Última modificació,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom__code,Numeric Code,Codi numèric,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom__create_date,Created on,Crear a,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom__create_uid,Created by,Creat per,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom__display_name,Display Name,Nom visible,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom__id,ID,Id,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom__name,Name,Nom,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom__write_date,Last Updated on,Última actualització,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom__write_uid,Last Updated by,Última actualització per,
ims,model,"ir.model.fields,field_description",ims.field_ims_followup____last_update,Last Modified on,Última modificació,
ims,model,"ir.model.fields,field_description",ims.field_ims_followup__create_date,Created on,Creat a,
ims,model,"ir.model.fields,field_description",ims.field_ims_followup__create_uid,Created by,Creat per,
ims,model,"ir.model.fields,field_description",ims.field_ims_followup__display_name,Display Name,Nom visible,
ims,model,"ir.model.fields,field_description",ims.field_ims_followup__formative_unit,Formative Unit,Unitat Formativa,
ims,model,"ir.model.fields,field_description",ims.field_ims_followup__id,ID,Id,
ims,model,"ir.model.fields,field_description",ims.field_ims_followup__notes,Notes,Notes,
ims,model,"ir.model.fields,field_description",ims.field_ims_followup__professional_module,Professional Module,Mòdul professional,
ims,model,"ir.model.fields,field_description",ims.field_ims_followup__student,Student,Estuiant,
ims,model,"ir.model.fields,field_description",ims.field_ims_followup__study,Study,Estudis,
ims,model,"ir.model.fields,field_description",ims.field_ims_followup__teacher,Teacher,Professor,
ims,model,"ir.model.fields,field_description",ims.field_ims_followup__write_date,Last Updated on,,
ims,model,"ir.model.fields,field_description",ims.field_ims_followup__write_uid,Last Updated by,,
ims,model,"ir.model.fields,field_description",ims.field_ims_formative_unit____last_update,Last Modified on,Última modificació,
ims,model,"ir.model.fields,field_description",ims.field_ims_formative_unit__code,Code,Codi ,
