module,type,name,res_id,src,value,comments
ims,model,"ir.actions.act_window,name",ims.action_ims_classroom_tree,Gestio d'aules,Classroom management,
ims,model,"ir.actions.act_window,name",ims.action_ims_followup_tree,Gestio de seguiments,Follow management,
ims,model,"ir.actions.act_window,name",ims.action_ims_formative_unit_tree,Gestio d'UFs,UF management,
ims,model,"ir.actions.act_window,name",ims.action_ims_group_tree,Gestio de grups,Groups management,
ims,model,"ir.actions.act_window,name",ims.action_ims_level_tree,Gestio de nivells,Level management,
ims,model,"ir.actions.act_window,name",ims.action_ims_professional_module_tree,Gestio d'MPs,MP Management,
ims,model,"ir.actions.act_window,name",ims.action_ims_student_kanban,ims.student Kanban Action,,
ims,model,"ir.actions.act_window,name",ims.action_ims_student_tree,Gestio d'alumnes,,
ims,model,"ir.actions.act_window,name",ims.action_ims_study_tree,Gestio d'estudis,,
ims,model,"ir.actions.act_window,name",ims.action_ims_teacher_tree,Gestio de professors,,
ims,model,"ir.actions.report,name",ims.report_mp,Professional Module Report,,
ims,model,"ir.model,name",ims.model_ims_classroom,Classroom,Classroom,
ims,model,"ir.model,name",ims.model_ims_followup,Follow-up,Follow-up,
ims,model,"ir.model,name",ims.model_ims_formative_unit,Formative Unit,,
ims,model,"ir.model,name",ims.model_ims_group,Groups,,
ims,model,"ir.model,name",ims.model_ims_level,Level,,
ims,model,"ir.model,name",ims.model_ims_professional_module,Profesional Module,,
ims,model,"ir.model,name",ims.model_ims_student,Student,,
ims,model,"ir.model,name",ims.model_ims_study,Study,,
ims,model,"ir.model,name",ims.model_ims_teacher,Teacher,,
ims,model,"ir.model,name",ims.model_ims_template,Template,,
ims,model,"ir.model,name",ims.model_ims_template_group,Template groups,,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom____last_update,Last Modified on,,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom__code,Numeric Code,,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom__create_date,Created on,,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom__create_uid,Created by,,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom__display_name,Display Name,,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom__id,ID,,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom__name,Name,,
ims,model,"ir.model.fields,field_description",ims.field_ims_classroom__write_date,Last Updated on,,
